number,expected_triage_category,expected_urgency,expected_owner,expected_priority,expected_requires_human_review
INC0000001,Technical Issue,High,Application Engineering,3 - Moderate,False
INC0000002,Account Access,Medium,Service Desk,5 - Planning,False
INC0000003,Account Access,High,Service Desk,4 - Low,False
INC0000004,Security / Compliance,Medium,Security Operations,4 - Low,False
INC0000005,Security / Compliance,Medium,Security Operations,4 - Low,False
INC0000006,Billing,High,Finance Operations,3 - Moderate,False
INC0000007,Product Question,Medium,Customer Success,5 - Planning,False
INC0000008,Security / Compliance,Medium,Security Operations,3 - Moderate,False
INC0000009,Billing,High,Finance Operations,3 - Moderate,False
INC0000010,Other,Low,Service Desk,5 - Planning,False
INC0000011,Security / Compliance,Medium,Security Operations,3 - Moderate,False
INC0000012,Billing,Medium,Finance Operations,5 - Planning,False
INC0000013,Account Access,Medium,Service Desk,5 - Planning,False
INC0000014,Security / Compliance,Medium,Security Operations,4 - Low,False
INC0000015,Product Question,Low,Customer Success,5 - Planning,False
INC0000016,Security / Compliance,Medium,Security Operations,4 - Low,False
INC0000017,Billing,Medium,Finance Operations,4 - Low,False
INC0000018,Product Question,Low,Customer Success,5 - Planning,False
INC0000019,Technical Issue,High,Application Engineering,3 - Moderate,False
INC0000020,Billing,Medium,Finance Operations,4 - Low,False
INC0000021,Technical Issue,High,Application Engineering,3 - Moderate,False
INC0000022,Security / Compliance,Medium,Security Operations,3 - Moderate,False
INC0000023,Account Access,Medium,Service Desk,5 - Planning,False
INC0000024,Other,Low,Service Desk,5 - Planning,False
INC0000025,Billing,Medium,Finance Operations,4 - Low,False
INC0000026,Billing,High,Finance Operations,3 - Moderate,False
INC0000027,Account Access,Medium,Service Desk,5 - Planning,False
INC0000028,Billing,Medium,Finance Operations,5 - Planning,False
INC0000029,Account Access,Critical,Service Desk,2 - High,False
INC0000030,Product Question,Medium,Customer Success,5 - Planning,False
INC0000031,Technical Issue,Critical,Application Engineering,2 - High,False
INC0000032,Account Access,Critical,Service Desk,2 - High,False
INC0000033,Account Access,Critical,Service Desk,2 - High,False
